Date,Adj Close
2010-07-17,0.04951
2010-07-18,0.08584
2010-07-19,0.08080
2010-07-20,0.07474
2010-07-21,0.07921
2010-07-22,0.05050
2010-07-23,0.06262
2010-07-24,0.05454
2010-07-25,0.05050
2010-07-26,0.05600
2010-07-27,0.06000
2010-07-28,0.05890
2010-07-29,0.06990
2010-07-30,0.06270
2010-07-31,0.06785
2010-08-01,0.06110
2010-08-02,0.06000
2010-08-03,0.06000
2010-08-04,0.05700
2010-08-05,0.06100
2010-08-06,0.06230
2010-08-07,0.05900
2010-08-08,0.06090
2010-08-09,0.07100
2010-08-10,0.07000
2010-08-11,0.06700
2010-08-12,0.07000
2010-08-13,0.06450
2010-08-14,0.06700
2010-08-15,0.06529
2010-08-16,0.06550
2010-08-17,0.07000
2010-08-18,0.06800
2010-08-19,0.06670
2010-08-20,0.06550
2010-08-21,0.06640
2010-08-22,0.06600
2010-08-23,0.06491
2010-08-24,0.06500
2010-08-25,0.06480
2010-08-26,0.06400
2010-08-27,0.06500
2010-08-28,0.06410
2010-08-29,0.06400
2010-08-30,0.06497
2010-08-31,0.06000
2010-09-01,0.06290
2010-09-02,0.06340
2010-09-03,0.06085
2010-09-04,0.06238
2010-09-05,0.06160
2010-09-06,0.06160
2010-09-07,0.06100
2010-09-08,0.06200
2010-09-09,0.06111
2010-09-10,0.06180
2010-09-11,0.06366
2010-09-12,0.06150
2010-09-13,0.06219
2010-09-14,0.06199
2010-09-15,0.06040
2010-09-16,0.06190
2010-09-17,0.05900
2010-09-18,0.06100
2010-09-19,0.06270
2010-09-20,0.06210
2010-09-21,0.06265
2010-09-22,0.06220
2010-09-23,0.06231
2010-09-24,0.06220
2010-09-25,0.06202
2010-09-26,0.06200
2010-09-27,0.06220
2010-09-28,0.06190
2010-09-29,0.06191
2010-09-30,0.06190
2010-10-01,0.06197
2010-10-02,0.06140
2010-10-03,0.06111
2010-10-04,0.06130
2010-10-05,0.06140
2010-10-06,0.06281
2010-10-07,0.06700
2010-10-08,0.08685
2010-10-09,0.09380
2010-10-10,0.09650
2010-10-11,0.09500
2010-10-12,0.09490
2010-10-13,0.10500
2010-10-14,0.10200
2010-10-15,0.10500
2010-10-16,0.10100
2010-10-17,0.10200
2010-10-18,0.10240
2010-10-19,0.09700
2010-10-20,0.09900
2010-10-21,0.10700
2010-10-22,0.10250
2010-10-23,0.10550
2010-10-24,0.11501
2010-10-25,0.13200
2010-10-26,0.15030
2010-10-27,0.18770
2010-10-28,0.17310
2010-10-29,0.19000
2010-10-30,0.19890
2010-10-31,0.19250
2010-11-01,0.19550
2010-11-02,0.19380
2010-11-03,0.19310
2010-11-04,0.23000
2010-11-05,0.26000
2010-11-06,0.39000
2010-11-07,0.34000
2010-11-08,0.24300
2010-11-09,0.21000
2010-11-10,0.24000
2010-11-11,0.22310
2010-11-12,0.26820
2010-11-13,0.27600
2010-11-14,0.27904
2010-11-15,0.26820
2010-11-16,0.22300
2010-11-17,0.22990
2010-11-18,0.26780
2010-11-19,0.28000
2010-11-20,0.28301
2010-11-21,0.27675
2010-11-22,0.28790
2010-11-23,0.28295
2010-11-24,0.28299
2010-11-25,0.28000
2010-11-26,0.28440
2010-11-27,0.28300
2010-11-28,0.27000
2010-11-29,0.22990
2010-11-30,0.20820
2010-12-01,0.22750
2010-12-02,0.25500
2010-12-03,0.25105
2010-12-04,0.20500
2010-12-05,0.19000
2010-12-06,0.20400
2010-12-07,0.23300
2010-12-08,0.23880
2010-12-09,0.20000
2010-12-10,0.20400
2010-12-11,0.22800
2010-12-12,0.22000
2010-12-13,0.22990
2010-12-14,0.24669
2010-12-15,0.23801
2010-12-16,0.24996
2010-12-17,0.24000
2010-12-18,0.24100
2010-12-19,0.24010
2010-12-20,0.26700
2010-12-21,0.24000
2010-12-22,0.25000
2010-12-23,0.25000
2010-12-24,0.24800
2010-12-25,0.24990
2010-12-26,0.26500
2010-12-27,0.26500
2010-12-28,0.28100
2010-12-29,0.30000
2010-12-30,0.30000
2010-12-31,0.30000
2011-01-01,0.30000
2011-01-02,0.29997
2011-01-03,0.29500
2011-01-04,0.29895
2011-01-05,0.29900
2011-01-06,0.29800
2011-01-07,0.32000
2011-01-08,0.32290
2011-01-09,0.32300
2011-01-10,0.32659
2011-01-11,0.32659
2011-01-12,0.31880
2011-01-13,0.31760
2011-01-14,0.40000
2011-01-15,0.38600
2011-01-16,0.38679
2011-01-17,0.34950
2011-01-18,0.31299
2011-01-19,0.31299
2011-01-20,0.39000
2011-01-21,0.41991
2011-01-22,0.44430
2011-01-23,0.44240
2011-01-24,0.41990
2011-01-25,0.41000
2011-01-26,0.41700
2011-01-27,0.42120
2011-01-28,0.44600
2011-01-29,0.43900
2011-01-30,0.47990
2011-01-31,0.52001
2011-02-01,0.70000
2011-02-02,0.71600
2011-02-03,0.69000
2011-02-04,0.81100
2011-02-05,0.92000
2011-02-06,0.89968
2011-02-07,0.89000
2011-02-08,0.91800
2011-02-09,1.09000
2011-02-10,0.98031
2011-02-11,1.07001
2011-02-12,1.07990
2011-02-13,1.05000
2011-02-14,1.07000
2011-02-15,1.05000
2011-02-16,1.04500
2011-02-17,1.04000
2011-02-18,0.89890
2011-02-19,0.94898
2011-02-20,0.85000
2011-02-21,0.83450
2011-02-22,0.87023
2011-02-23,0.90000
2011-02-24,0.99743
2011-02-25,0.91110
2011-02-26,0.95800
2011-02-27,0.89000
2011-02-28,0.86000
2011-03-01,0.92021
2011-03-02,0.93990
2011-03-03,0.93909
2011-03-04,0.90100
2011-03-05,0.91030
2011-03-06,0.89990
2011-03-07,0.88502
2011-03-08,0.86999
2011-03-09,0.86449
2011-03-10,0.93290
2011-03-11,0.88000
2011-03-12,0.91800
2011-03-13,0.89249
2011-03-14,0.89490
2011-03-15,0.87000
2011-03-16,0.86000
2011-03-17,0.82542
2011-03-18,0.81648
2011-03-19,0.76500
2011-03-20,0.74108
2011-03-21,0.75897
2011-03-22,0.80901
2011-03-23,0.84971
2011-03-24,0.86688
2011-03-25,0.88377
2011-03-26,0.85520
2011-03-27,0.82000
2011-03-28,0.79898
2011-03-29,0.79250
2011-03-30,0.78970
2011-03-31,0.78461
2011-04-01,0.77411
2011-04-02,0.78199
2011-04-03,0.77900
2011-04-04,0.68000
2011-04-05,0.71000
2011-04-06,0.74000
2011-04-07,0.75380
2011-04-08,0.74999
2011-04-09,0.73000
2011-04-10,0.73690
2011-04-11,0.77000
2011-04-12,0.86000
2011-04-13,0.92250
2011-04-14,1.00000
2011-04-15,0.98991
2011-04-16,1.04990
2011-04-17,1.11230
2011-04-18,1.16199
2011-04-19,1.19790
2011-04-20,1.14210
2011-04-21,1.21000
2011-04-22,1.40901
2011-04-23,1.70010
2011-04-24,1.63011
2011-04-25,1.55900
2011-04-26,1.79490
2011-04-27,1.90000
2011-04-28,2.21059
2011-04-29,2.88000
2011-04-30,3.50000
2011-05-01,3.03311
2011-05-02,3.20000
2011-05-03,3.41000
2011-05-04,3.40609
2011-05-05,3.33300
2011-05-06,3.45000
2011-05-07,3.64100
2011-05-08,3.86590
2011-05-09,3.80000
2011-05-10,5.81000
2011-05-11,5.50000
2011-05-12,6.30019
2011-05-13,8.19800
2011-05-14,7.19769
2011-05-15,6.98701
